Timestamp,Flowrate (L/min),B1 - General - TGS2600 (raw),B1 - General - TGS2602 (raw),B1 - General - TGS2603 (raw),B1 - General - MQ2 (raw),B1 - Multichannel Gas Sensor - GM102B (NO2) (ppm),B1 - Multichannel Gas Sensor - GM302B (C2H5CH) (ppm),B1 - Multichannel Gas Sensor - GM502B (VOC) (ppm),B1 - Multichannel Gas Sensor - GM702B (CO) (ppm),B1 - SGP30 - tVOC (ppb),B1 - SGP30 - CO2eq (ppm),B1 - BME688 - Temperature (°C),B1 - BME688 - Pressure (Pa),B1 - BME688 - Humidity (%),B1 - BME688 - Gas Resistance (kOhm),B1 - BME688 - Gas Index,B1 - Formaldehyde - hcho (ppb),B1 - Formaldehyde - humidity (%),B1 - Formaldehyde - temperature (°C)
2025-07-31 17:53:04,1.0,375.0,433.0,691.0,66.0,209.0,278.0,70.0,117.0,1.0,400.0,33.92,95170.55,25.91,102400.0,3,3.6,24.65,24.29
2025-07-31 17:53:15,1.0,385.0,437.0,694.0,73.0,208.0,278.0,71.0,118.0,2.0,400.0,33.86,95170.47,25.95,102400.0,3,3.6,24.65,24.31
2025-07-31 17:53:25,1.0,405.0,437.0,691.0,72.0,209.0,279.0,70.0,117.0,5.0,400.0,33.93,95168.28,26.0,102400.0,4,3.4,24.65,24.29
2025-07-31 17:53:35,1.0,407.0,434.0,685.0,72.0,208.0,278.0,70.0,117.0,6.0,400.0,34.59,95175.09,26.16,6492.57,5,3.4,24.66,24.3
2025-07-31 17:53:45,1.0,381.0,436.0,688.0,73.0,208.0,278.0,70.0,117.0,5.0,400.0,34.76,95177.56,26.19,6371.38,6,3.6,24.66,24.31
2025-07-31 17:53:56,1.0,375.0,432.0,686.0,66.0,208.0,278.0,70.0,117.0,2.0,400.0,35.17,95173.41,26.31,6183.81,7,3.6,24.69,24.3
2025-07-31 17:54:06,1.0,395.0,433.0,694.0,65.0,209.0,278.0,70.0,118.0,4.0,400.0,35.47,95175.08,26.34,575.93,8,3.6,24.66,24.31
2025-07-31 17:54:16,1.0,411.0,439.0,688.0,66.0,208.0,278.0,70.0,118.0,1.0,400.0,35.62,95174.2,26.33,603.95,0,3.8,24.66,24.31
2025-07-31 17:54:26,1.0,407.0,436.0,695.0,71.0,209.0,279.0,70.0,117.0,5.0,400.0,35.22,95176.85,26.19,102400.0,1,3.6,24.65,24.28
2025-07-31 17:54:36,1.0,402.0,433.0,687.0,72.0,209.0,279.0,71.0,117.0,0.0,400.0,34.44,95170.92,25.98,102400.0,2,3.6,24.67,24.3
2025-07-31 17:54:47,1.0,385.0,433.0,687.0,65.0,209.0,278.0,70.0,118.0,2.0,400.0,34.19,95171.85,25.92,102400.0,3,3.6,24.65,24.3
2025-07-31 17:54:57,1.0,376.0,439.0,685.0,74.0,208.0,278.0,70.0,117.0,6.0,400.0,34.06,95169.7,25.88,102400.0,3,3.4,24.65,24.3
