Timestamp,B1 - TGS2600 (raw),B1 - TGS2602 (raw),B1 - TGS2603 (raw),B1 - MQ2 (raw),B1 - GM102B (NO2) (ppm),B1 - GM302B (C2H5CH) (ppm),B1 - GM502B (VOC) (ppm),B1 - GM702B (CO) (ppm),B1 - tVOC (ppb),B1 - CO2eq (ppm),B1 - Temperature,B1 - Pressure,B1 - Humidity,B1 - Gas Resistance,B1 - Gas Index,B1 - hcho (ppb),B1 - humidity,B1 - temperature
2025-07-31 18:05:09,376.0,435.0,698.0,72.0,208.0,274.0,70.0,116.0,0.0,400.0,34.11 °C,95187.96 Pa,25.91 %,102400.00 kOhm,3,3.6,24.66 %,24.28 °C
2025-07-31 18:05:15,386.0,435.0,704.0,68.0,208.0,275.0,70.0,116.0,3.0,400.0,33.99 °C,95191.06 Pa,25.87 %,102400.00 kOhm,3,3.6,24.67 %,24.28 °C
2025-07-31 18:05:21,411.0,435.0,696.0,66.0,208.0,274.0,69.0,117.0,8.0,404.0,33.92 °C,95187.16 Pa,25.90 %,102400.00 kOhm,3,3.6,24.69 %,24.30 °C
2025-07-31 18:05:26,405.0,441.0,704.0,72.0,208.0,275.0,70.0,116.0,9.0,400.0,33.86 °C,95189.05 Pa,25.91 %,102400.00 kOhm,3,3.6,24.68 %,24.30 °C
2025-07-31 18:05:31,376.0,435.0,698.0,67.0,208.0,275.0,70.0,116.0,1.0,400.0,33.80 °C,95187.02 Pa,25.94 %,102400.00 kOhm,3,3.6,24.68 %,24.28 °C
2025-07-31 18:05:36,386.0,439.0,698.0,72.0,208.0,275.0,69.0,117.0,7.0,400.0,34.44 °C,95192.02 Pa,26.10 %,6570.68 kOhm,4,3.6,24.67 %,24.28 °C
2025-07-31 18:05:42,402.0,439.0,703.0,72.0,208.0,274.0,70.0,117.0,0.0,400.0,34.67 °C,95190.98 Pa,26.17 %,6338.10 kOhm,6,3.6,24.66 %,24.28 °C
2025-07-31 18:05:47,404.0,434.0,697.0,72.0,208.0,275.0,69.0,116.0,9.0,400.0,34.94 °C,95193.48 Pa,26.24 %,6149.00 kOhm,7,3.6,24.68 %,24.28 °C
2025-07-31 18:05:52,401.0,434.0,704.0,72.0,208.0,275.0,70.0,116.0,2.0,400.0,35.36 °C,95194.03 Pa,26.31 %,546.42 kOhm,8,3.4,24.66 %,24.27 °C
2025-07-31 18:05:58,375.0,439.0,698.0,72.0,208.0,275.0,70.0,116.0,5.0,400.0,35.55 °C,95194.88 Pa,26.33 %,576.41 kOhm,9,3.4,24.65 %,24.30 °C
2025-07-31 18:06:03,376.0,436.0,704.0,72.0,208.0,275.0,70.0,116.0,6.0,400.0,35.66 °C,95194.23 Pa,26.30 %,625.53 kOhm,0,3.4,24.65 %,24.30 °C
2025-07-31 18:06:08,399.0,437.0,704.0,66.0,208.0,274.0,70.0,116.0,4.0,400.0,34.56 °C,95193.95 Pa,26.01 %,102400.00 kOhm,2,3.4,24.67 %,24.28 °C
2025-07-31 18:06:13,411.0,438.0,697.0,66.0,209.0,275.0,70.0,116.0,8.0,400.0,34.21 °C,95189.66 Pa,25.92 %,102400.00 kOhm,2,3.4,24.66 %,24.28 °C
2025-07-31 18:06:19,384.0,435.0,705.0,66.0,209.0,274.0,69.0,117.0,3.0,400.0,34.07 °C,95190.13 Pa,25.90 %,102400.00 kOhm,3,3.4,24.65 %,24.29 °C
2025-07-31 18:06:24,376.0,439.0,699.0,68.0,209.0,275.0,70.0,117.0,4.0,400.0,33.96 °C,95187.52 Pa,25.88 %,102400.00 kOhm,3,3.4,24.66 %,24.29 °C
2025-07-31 18:06:29,396.0,440.0,698.0,65.0,209.0,274.0,70.0,116.0,8.0,400.0,33.89 °C,95186.16 Pa,25.89 %,102400.00 kOhm,3,3.4,24.66 %,24.27 °C
2025-07-31 18:06:35,411.0,433.0,702.0,65.0,208.0,275.0,69.0,116.0,7.0,400.0,33.84 °C,95188.61 Pa,25.91 %,102400.00 kOhm,3,3.2,24.66 %,24.28 °C
2025-07-31 18:06:40,386.0,440.0,699.0,72.0,209.0,275.0,70.0,116.0,5.0,400.0,33.80 °C,95185.56 Pa,25.92 %,102400.00 kOhm,3,3.4,24.66 %,24.28 °C
2025-07-31 18:06:45,375.0,436.0,698.0,73.0,208.0,275.0,70.0,117.0,3.0,400.0,34.50 °C,95192.30 Pa,26.12 %,6527.49 kOhm,5,3.2,24.64 %,24.29 °C
2025-07-31 18:06:50,383.0,438.0,704.0,73.0,208.0,275.0,70.0,117.0,6.0,400.0,34.70 °C,95193.63 Pa,26.17 %,6397.50 kOhm,6,3.2,24.65 %,24.28 °C
2025-07-31 18:06:56,390.0,439.0,703.0,72.0,209.0,275.0,69.0,116.0,8.0,400.0,35.05 °C,95195.34 Pa,26.25 %,6208.41 kOhm,7,3.2,24.67 %,24.29 °C
2025-07-31 18:07:01,405.0,439.0,697.0,67.0,208.0,275.0,69.0,116.0,10.0,400.0,35.40 °C,95193.26 Pa,26.31 %,545.55 kOhm,8,3.2,24.63 %,24.30 °C
2025-07-31 18:07:06,410.0,434.0,697.0,67.0,209.0,275.0,70.0,116.0,2.0,400.0,35.57 °C,95193.34 Pa,26.30 %,607.17 kOhm,9,3.4,24.67 %,24.30 °C
