Timestamp,B1 - TGS2600 (raw),B1 - TGS2602 (raw),B1 - TGS2603 (raw),B1 - MQ2 (raw),B1 - GM102B (NO2) (ppm),B1 - GM302B (C2H5CH) (ppm),B1 - GM502B (VOC) (ppm),B1 - GM702B (CO) (ppm),B1 - tVOC (ppb),B1 - CO2eq (ppm),B1 - Temperature,B1 - Pressure,B1 - Humidity,B1 - Gas Resistance,B1 - Gas Index,B1 - hcho (ppb),B1 - humidity,B1 - temperature
2025-07-31 17:17:58,400.0,431.0,698.0,72.0,210.0,294.0,73.0,118.0,3.0,400.0,35.78 °C,95131.39 Pa,26.33 %,602.35 kOhm,0,11.8,24.61 %,24.42 °C
2025-07-31 17:18:04,381.0,436.0,694.0,74.0,210.0,294.0,73.0,118.0,0.0,400.0,35.14 °C,95131.04 Pa,26.13 %,102400.00 kOhm,2,11.8,24.59 %,24.43 °C
2025-07-31 17:18:09,379.0,435.0,695.0,75.0,210.0,294.0,74.0,118.0,0.0,400.0,34.53 °C,95133.56 Pa,25.97 %,102400.00 kOhm,2,11.6,24.59 %,24.48 °C
2025-07-31 17:18:14,407.0,429.0,691.0,74.0,210.0,293.0,73.0,118.0,0.0,400.0,34.30 °C,95129.77 Pa,25.91 %,102400.00 kOhm,3,11.8,24.61 %,24.44 °C
2025-07-31 17:18:20,404.0,433.0,692.0,74.0,210.0,293.0,73.0,118.0,5.0,400.0,34.19 °C,95132.73 Pa,25.88 %,102400.00 kOhm,3,11.8,24.60 %,24.44 °C
2025-07-31 17:18:25,382.0,432.0,690.0,70.0,210.0,294.0,73.0,118.0,6.0,400.0,34.11 °C,95130.07 Pa,25.90 %,102400.00 kOhm,3,11.8,24.62 %,24.44 °C
2025-07-31 17:18:30,380.0,431.0,689.0,70.0,209.0,293.0,73.0,117.0,6.0,400.0,34.04 °C,95128.16 Pa,25.91 %,102400.00 kOhm,3,11.8,24.58 %,24.43 °C
2025-07-31 17:18:35,396.0,432.0,696.0,70.0,210.0,294.0,74.0,118.0,3.0,400.0,34.00 °C,95127.26 Pa,25.92 %,102400.00 kOhm,3,12.0,24.59 %,24.48 °C
2025-07-31 17:18:41,414.0,437.0,690.0,70.0,210.0,294.0,74.0,118.0,4.0,400.0,34.44 °C,95133.00 Pa,26.05 %,102400.00 kOhm,4,11.8,24.59 %,24.43 °C
2025-07-31 17:18:46,405.0,434.0,695.0,74.0,209.0,293.0,73.0,118.0,5.0,400.0,34.80 °C,95129.04 Pa,26.16 %,6543.13 kOhm,5,11.8,24.60 %,24.45 °C
2025-07-31 17:18:51,392.0,434.0,691.0,73.0,209.0,293.0,73.0,117.0,2.0,400.0,34.93 °C,95132.77 Pa,26.21 %,6114.57 kOhm,6,11.8,24.59 %,24.42 °C
2025-07-31 17:18:56,381.0,437.0,689.0,74.0,210.0,293.0,73.0,118.0,6.0,400.0,35.45 °C,95131.67 Pa,26.31 %,543.81 kOhm,8,11.6,24.60 %,24.45 °C
2025-07-31 17:19:01,376.0,437.0,695.0,68.0,210.0,293.0,73.0,118.0,11.0,400.0,35.67 °C,95132.05 Pa,26.33 %,574.96 kOhm,9,11.6,24.59 %,24.44 °C
2025-07-31 17:19:07,388.0,436.0,691.0,75.0,210.0,293.0,73.0,118.0,4.0,400.0,35.80 °C,95128.23 Pa,26.32 %,602.35 kOhm,0,11.6,24.59 %,24.43 °C
2025-07-31 17:19:12,400.0,431.0,692.0,74.0,210.0,293.0,74.0,118.0,4.0,400.0,34.96 °C,95134.16 Pa,26.10 %,102400.00 kOhm,2,11.6,24.59 %,24.44 °C
2025-07-31 17:19:17,409.0,431.0,691.0,73.0,210.0,293.0,73.0,118.0,0.0,400.0,34.47 °C,95130.46 Pa,25.94 %,102400.00 kOhm,2,11.6,24.59 %,24.42 °C
2025-07-31 17:19:22,407.0,434.0,697.0,71.0,210.0,293.0,74.0,118.0,6.0,400.0,34.28 °C,95131.12 Pa,25.91 %,102400.00 kOhm,3,11.6,24.60 %,24.44 °C
2025-07-31 17:19:28,394.0,432.0,691.0,72.0,210.0,293.0,74.0,118.0,2.0,400.0,34.17 °C,95129.58 Pa,25.88 %,102400.00 kOhm,3,11.4,24.60 %,24.43 °C
2025-07-31 17:19:33,376.0,431.0,692.0,75.0,210.0,294.0,74.0,118.0,8.0,400.0,34.10 °C,95129.29 Pa,25.90 %,102400.00 kOhm,3,11.4,24.58 %,24.46 °C
2025-07-31 17:19:38,376.0,431.0,696.0,74.0,209.0,293.0,73.0,118.0,0.0,400.0,34.04 °C,95128.50 Pa,25.91 %,102400.00 kOhm,3,11.4,24.59 %,24.42 °C
2025-07-31 17:19:43,393.0,438.0,691.0,66.0,210.0,294.0,73.0,118.0,0.0,400.0,33.99 °C,95127.93 Pa,25.94 %,102400.00 kOhm,3,11.4,24.59 %,24.45 °C
2025-07-31 17:19:48,413.0,437.0,690.0,75.0,210.0,294.0,73.0,118.0,3.0,400.0,34.61 °C,95129.93 Pa,26.10 %,6594.49 kOhm,4,11.4,24.59 %,24.40 °C
2025-07-31 17:19:54,402.0,431.0,699.0,69.0,210.0,293.0,73.0,117.0,0.0,400.0,34.85 °C,95132.85 Pa,26.17 %,6319.77 kOhm,6,11.4,24.60 %,24.43 °C
