Timestamp,Flowrate (L/min),B1 - General - TGS2600 (raw),B1 - General - TGS2602 (raw),B1 - General - TGS2603 (raw),B1 - General - MQ2 (raw),B1 - Multichannel Gas Sensor - GM102B (NO2) (ppm),B1 - Multichannel Gas Sensor - GM302B (C2H5CH) (ppm),B1 - Multichannel Gas Sensor - GM502B (VOC) (ppm),B1 - Multichannel Gas Sensor - GM702B (CO) (ppm),B1 - SGP30 - tVOC (ppb),B1 - SGP30 - CO2eq (ppm),B1 - BME688 - Temperature (°C),B1 - BME688 - Pressure (Pa),B1 - BME688 - Humidity (%),B1 - BME688 - Gas Resistance (kOhm),B1 - BME688 - Gas Index,B1 - Formaldehyde - hcho (ppb),B1 - Formaldehyde - humidity (%),B1 - Formaldehyde - temperature (°C)
2025-07-31 17:49:42,1.0,380.0,439.0,689.0,66.0,209.0,279.0,70.0,117.0,3.0,400.0,33.85,95166.68,25.95,102400.0,3,4.2,24.65,24.31
2025-07-31 17:49:48,1.0,383.0,433.0,694.0,65.0,209.0,279.0,70.0,117.0,10.0,400.0,34.48,95166.79,26.09,6642.61,4,4.0,24.64,24.31
2025-07-31 17:49:54,1.0,404.0,437.0,688.0,66.0,209.0,279.0,71.0,117.0,7.0,400.0,34.72,95170.26,26.19,6386.28,6,4.0,24.64,24.31
2025-07-31 17:49:59,1.0,407.0,434.0,688.0,66.0,209.0,280.0,71.0,118.0,5.0,400.0,34.99,95168.8,26.24,6169.84,7,4.2,24.66,24.31
2025-07-31 17:50:04,1.0,386.0,438.0,689.0,72.0,209.0,279.0,70.0,117.0,5.0,400.0,35.4,95168.76,26.32,542.52,8,4.2,24.64,24.32
2025-07-31 17:50:09,1.0,377.0,438.0,694.0,72.0,208.0,280.0,70.0,117.0,4.0,400.0,35.59,95168.88,26.33,577.39,9,4.2,24.65,24.31
2025-07-31 17:50:14,1.0,396.0,435.0,689.0,65.0,209.0,279.0,71.0,118.0,4.0,400.0,35.71,95169.67,26.29,627.26,0,4.2,24.66,24.3
2025-07-31 17:50:20,1.0,407.0,438.0,689.0,66.0,209.0,279.0,70.0,117.0,8.0,400.0,34.52,95170.52,26.0,102400.0,2,4.2,24.65,24.3
2025-07-31 17:50:25,1.0,395.0,439.0,693.0,66.0,209.0,280.0,70.0,117.0,3.0,400.0,34.22,95166.3,25.91,102400.0,3,4.2,24.65,24.31
2025-07-31 17:50:30,1.0,397.0,435.0,688.0,73.0,209.0,279.0,71.0,118.0,4.0,400.0,34.08,95161.41,25.89,102400.0,3,4.4,24.66,24.31
2025-07-31 17:50:35,1.0,382.0,435.0,695.0,71.0,209.0,279.0,71.0,117.0,9.0,400.0,33.99,95163.34,25.89,102400.0,3,4.2,24.63,24.31
2025-07-31 17:50:41,1.0,375.0,433.0,697.0,73.0,209.0,279.0,70.0,117.0,6.0,400.0,33.93,95161.8,25.91,102400.0,3,4.2,24.64,24.3
