Timestamp,Flowrate (L/min),B1 - General - TGS2600 - V,B1 - General - TGS2602 - V,B1 - General - TGS2603 - V,B1 - General - MQ2 - V,B1 - Multichannel Gas Sensor - GM102B (NO2) - ppm,B1 - Multichannel Gas Sensor - GM102B (NO2) - V,B1 - Multichannel Gas Sensor - GM302B (C2H5CH) - ppm,B1 - Multichannel Gas Sensor - GM302B (C2H5CH) - V,B1 - Multichannel Gas Sensor - GM502B (VOC) - ppm,B1 - Multichannel Gas Sensor - GM502B (VOC) - V,B1 - Multichannel Gas Sensor - GM702B (CO) - ppm,B1 - Multichannel Gas Sensor - GM702B (CO) - V,B1 - SGP30 - tVOC - ppb,B1 - SGP30 - tVOC - V,B1 - SGP30 - CO2eq - ppm,B1 - SGP30 - CO2eq - V,B1 - BME688 - temperature - °C,B1 - BME688 - temperature - V,B1 - BME688 - pressure - KPa,B1 - BME688 - pressure - V,B1 - BME688 - humidity - %,B1 - BME688 - humidity - V,B1 - BME688 - gas - Kohms,B1 - BME688 - gas - V,B1 - Formaldehyde - hcho - ppb,B1 - Formaldehyde - hcho - V,B1 - Formaldehyde - humidity - %,B1 - Formaldehyde - humidity - V,B1 - Formaldehyde - temperature - °C,B1 - Formaldehyde - temperature - V,B2 - General - TGS2610 - V,B2 - General - TGS2611 - V,B2 - General - TGS2612 - V,B2 - General - MQ9_b - V,B2 - BME680 - temperature - °C,B2 - BME680 - temperature - V,B2 - BME680 - pressure - KPa,B2 - BME680 - pressure - V,B2 - BME680 - humidity - %,B2 - BME680 - humidity - V,B2 - BME680 - gas - Kohms,B2 - BME680 - gas - V,B2 - SGP41 - SRAW_VOC - raw,B2 - SGP41 - SRAW_NOx - raw
17-07-2025 11:27:26,1.0,2.1,2.01,3.0,0.36,239 ppm,0.77,440 ppm,1.42,129 ppm,0.42,95 ppm,0.31,8 ppb,0.000,400ppm,0.00,26.06 °C,1.74,94.74 KPa,2.67,40.71 %,1.32,12946.86 Kohms,27.19,36.00 ppb,0.118,28.27 %,0.92,25.60 °C,2.12,2.15,0.18,0.47,0.19,24.25 °C,1.69,94.71 KPa,2.67,32.31 %,1.06,0.00 Kohms,0.00,30212,0
17-07-2025 11:27:31,1.0,1.79,2.01,2.98,0.39,238 ppm,0.77,440 ppm,1.42,130 ppm,0.42,95 ppm,0.31,4 ppb,0.000,400ppm,0.00,26.07 °C,1.74,94.74 KPa,2.67,40.69 %,1.32,12946.86 Kohms,27.19,36.00 ppb,0.118,28.26 %,0.92,25.60 °C,2.12,1.48,0.18,0.47,0.18,24.25 °C,1.69,94.72 KPa,2.67,32.36 %,1.06,62.39 Kohms,0.13,30268,0
17-07-2025 11:27:36,1.0,1.97,2.01,2.97,0.36,239 ppm,0.77,440 ppm,1.42,129 ppm,0.42,94 ppm,0.30,6 ppb,0.000,400ppm,0.00,26.07 °C,1.74,94.73 KPa,2.67,40.69 %,1.32,12946.86 Kohms,27.19,36.00 ppb,0.118,28.27 %,0.92,25.61 °C,2.12,1.27,0.18,0.46,0.18,24.28 °C,1.69,94.72 KPa,2.67,32.43 %,1.06,60.81 Kohms,0.13,30277,0
17-07-2025 11:27:41,1.0,2.07,1.99,3.0,0.39,239 ppm,0.77,440 ppm,1.42,129 ppm,0.42,94 ppm,0.30,5 ppb,0.000,400ppm,0.00,26.06 °C,1.74,94.74 KPa,2.67,40.71 %,1.32,12946.86 Kohms,27.19,35.80 ppb,0.115,28.27 %,0.92,25.61 °C,2.12,1.47,0.19,0.46,0.18,24.30 °C,1.69,94.72 KPa,2.67,32.44 %,1.06,62.30 Kohms,0.13,30280,0
17-07-2025 11:27:46,1.0,1.76,2.02,2.98,0.36,239 ppm,0.77,440 ppm,1.42,129 ppm,0.42,94 ppm,0.30,7 ppb,0.000,400ppm,0.00,26.07 °C,1.74,94.73 KPa,2.67,40.71 %,1.32,12946.86 Kohms,27.19,36.20 ppb,0.118,28.27 %,0.92,25.61 °C,2.12,1.92,0.18,0.47,0.19,24.30 °C,1.69,94.72 KPa,2.67,32.46 %,1.06,63.05 Kohms,0.13,30292,0
17-07-2025 11:27:51,1.0,2.08,2.0,3.01,0.36,238 ppm,0.77,440 ppm,1.42,129 ppm,0.42,94 ppm,0.30,5 ppb,0.000,400ppm,0.00,26.06 °C,1.74,94.73 KPa,2.67,40.70 %,1.32,12946.86 Kohms,27.19,36.40 ppb,0.118,28.27 %,0.92,25.61 °C,2.12,1.76,0.18,0.46,0.18,24.30 °C,1.69,94.72 KPa,2.67,32.43 %,1.06,63.63 Kohms,0.13,30294,0
17-07-2025 11:27:56,1.0,1.78,2.02,3.01,0.36,239 ppm,0.77,440 ppm,1.42,129 ppm,0.42,95 ppm,0.31,12 ppb,0.000,400ppm,0.00,26.06 °C,1.74,94.73 KPa,2.67,40.70 %,1.32,12946.86 Kohms,27.19,36.60 ppb,0.118,28.27 %,0.92,25.62 °C,2.12,1.26,0.18,0.46,0.18,24.30 °C,1.69,94.72 KPa,2.67,32.40 %,1.06,64.06 Kohms,0.13,30278,0
17-07-2025 11:28:01,1.0,2.08,2.01,3.01,0.36,238 ppm,0.77,440 ppm,1.42,129 ppm,0.42,94 ppm,0.30,6 ppb,0.000,400ppm,0.00,26.07 °C,1.74,94.74 KPa,2.67,40.71 %,1.32,12946.86 Kohms,27.19,36.60 ppb,0.118,28.27 %,0.92,25.60 °C,2.12,1.19,0.19,0.46,0.18,24.30 °C,1.69,94.72 KPa,2.67,32.37 %,1.06,64.46 Kohms,0.14,30280,0
17-07-2025 11:28:06,1.0,1.87,2.02,3.02,0.36,239 ppm,0.77,440 ppm,1.42,129 ppm,0.42,94 ppm,0.30,5 ppb,0.000,400ppm,0.00,26.07 °C,1.74,94.73 KPa,2.67,40.69 %,1.32,12946.86 Kohms,27.19,36.60 ppb,0.118,28.28 %,0.92,25.62 °C,2.12,1.72,0.17,0.46,0.18,24.31 °C,1.69,94.72 KPa,2.67,32.33 %,1.06,64.86 Kohms,0.14,30293,0
17-07-2025 11:28:11,1.0,1.97,2.0,3.02,0.37,238 ppm,0.77,440 ppm,1.42,129 ppm,0.42,94 ppm,0.30,2 ppb,0.000,400ppm,0.00,26.07 °C,1.74,94.73 KPa,2.67,40.71 %,1.32,12946.86 Kohms,27.19,36.60 ppb,0.118,28.27 %,0.92,25.60 °C,2.12,1.94,0.18,0.47,0.19,24.31 °C,1.69,94.72 KPa,2.67,32.33 %,1.06,65.01 Kohms,0.14,30288,0
17-07-2025 11:28:16,1.0,2.03,2.0,3.01,0.37,238 ppm,0.77,440 ppm,1.42,129 ppm,0.42,94 ppm,0.30,9 ppb,0.000,400ppm,0.00,26.07 °C,1.74,94.74 KPa,2.67,40.71 %,1.32,12946.86 Kohms,27.19,36.60 ppb,0.118,28.28 %,0.92,25.61 °C,2.12,1.39,0.19,0.46,0.18,24.31 °C,1.69,94.72 KPa,2.67,32.33 %,1.06,65.16 Kohms,0.14,30288,0
